date,5. adjusted close,F
2013-01-25,23.9647,10.2379
2013-01-28,23.7669,10.3876
2013-01-29,23.4536,9.9052
2013-01-30,23.0332,9.7469
2013-01-31,23.1568,9.7619
2013-02-01,23.2228,9.8147
2013-02-04,23.0496,9.7092
2013-02-05,23.569,9.9353
2013-02-06,23.5113,9.9504
2013-02-07,23.4701,9.8524
2013-02-08,23.5525,9.875
2013-02-11,23.5195,9.8826
2013-02-12,23.536,9.8599
2013-02-13,23.635,9.8298
2013-02-14,22.8765,9.8826
2013-02-15,22.8848,9.8147
2013-02-19,22.8188,9.7921
2013-02-20,22.3407,9.4981
2013-02-21,21.8543,9.3398
2013-02-22,22.3489,9.4077
2013-02-25,21.7059,9.1438
2013-02-26,22.1181,9.3021
2013-02-27,22.588,9.6187
2013-02-28,22.3819,9.5056
2013-03-01,22.4314,9.5056
2013-03-04,22.3324,9.6112
2013-03-05,22.7364,9.7016
2013-03-06,23.0084,9.7167
2013-03-07,22.9837,9.6715
2013-03-08,23.0826,9.7846
2013-03-11,23.3382,10.0559
2013-03-12,23.3876,10.0936
2013-03-13,23.1403,10.1012
2013-03-14,23.2145,10.1238
2013-03-15,23.2557,10.1389
2013-03-18,23.1156,9.9956
2013-03-19,23.1651,9.9202
2013-03-20,24.0719,10.071
2013-03-21,23.602,9.9956
2013-03-22,23.264,9.9956
2013-03-25,23.2145,10.0182
2013-03-26,23.2063,10.0333
2013-03-27,23.1321,9.9655
2013-03-28,22.9342,9.9127
2013-04-01,22.9177,9.7243
2013-04-02,23.0249,9.8072
2013-04-03,22.9177,9.5584
2013-04-04,22.8683,9.5358
2013-04-05,22.6869,9.3775
2013-04-08,22.7446,9.6338
2013-04-09,22.6952,9.6489
2013-04-10,23.3876,9.8901
2013-04-11,24.5005,10.2142
2013-04-12,24.4181,10.1992
2013-04-15,23.8328,9.7619
2013-04-16,24.2945,9.8901
2013-04-17,24.1296,9.7431
2013-04-18,23.8905,9.6112
2013-04-19,24.0307,9.7469
2013-04-22,24.1131,9.8449
2013-04-23,24.6077,10.071
2013-04-24,25.1023,10.0484
2013-04-25,25.3167,10.1539
2013-04-26,25.1436,10.3047
2013-04-29,25.3826,10.2972
2013-04-30,25.4239,10.3348
2013-05-01,24.8798,10.1615
2013-05-02,25.6877,10.1843
2013-05-03,26.4626,10.5032
2013-05-06,26.2317,10.7007
2013-05-07,26.0916,10.7766
2013-05-08,26.4461,10.7918
2013-05-09,26.0916,10.7842
2013-05-10,25.902,10.7159
2013-05-13,25.5558,10.6399
2013-05-14,26.0092,10.8374
2013-05-15,26.6357,11.1412
2013-05-16,26.7016,11.1184
2013-05-17,27.5508,11.4525
2013-05-20,27.7816,11.4298
2013-05-21,27.5343,11.3538
2013-05-22,27.3941,11.369
2013-05-23,27.0809,11.2475
2013-05-24,27.0973,11.2323
2013-05-28,27.9959,11.6044
2013-05-29,28.0701,11.8702
2013-05-30,28.5565,12.0753
2013-05-31,27.9382,11.9082
2013-06-03,28.3751,12.0677
2013-06-04,28.8203,11.9842
2013-06-05,28.0454,11.5816
2013-06-06,28.3916,11.7259
2013-06-07,28.878,11.9462
2013-06-10,28.6389,11.931
2013-06-11,27.9712,11.7791
2013-06-12,27.5755,11.6728
2013-06-13,28.4411,11.8323
2013-06-14,28.268,11.6728
2013-06-17,27.8063,11.8095
2013-06-18,28.0371,11.8854
2013-06-19,27.7486,11.6348
2013-06-20,26.8418,11.2551
2013-06-21,26.5533,11.3918
2013-06-24,25.902,11.1412
2013-06-25,26.2317,11.369
2013-06-26,26.8335,11.612
2013-06-27,27.287,11.8854
2013-06-28,27.4601,11.7487
2013-07-01,28.0289,11.9538
2013-07-02,28.1113,12.2879
2013-07-03,28.1443,12.4778
2013-07-05,28.5812,12.6829
2013-07-08,28.5565,12.7664
2013-07-09,28.7873,12.7892
2013-07-10,29.1253,12.698
2013-07-11,29.7931,12.8955
2013-07-12,30.0074,12.9942
2013-07-15,30.0898,13.0018
2013-07-16,29.826,12.6069
2013-07-17,29.9744,12.7436
2013-07-18,30.3701,12.8575
2013-07-19,30.1805,12.7284
2013-07-22,30.3042,12.9411
2013-07-23,30.1805,12.8651
2013-07-24,30.6174,13.1917
2013-07-25,30.568,12.8803
2013-07-26,30.23,12.9259
2013-07-29,29.9909,12.9714
2013-07-30,30.0898,12.9714
2013-07-31,29.5705,12.8955
2013-08-01,30.0651,13.1323
2013-08-02,30.4608,13.3691
2013-08-05,30.2959,13.1323
2013-08-06,29.6447,13.0101
2013-08-07,29.249,12.8115
2013-08-08,29.6859,12.9719
2013-08-09,29.6941,13.0025
2013-08-12,29.6612,13.0406
2013-08-13,29.5457,13.033
2013-08-14,29.3232,12.9031
2013-08-15,28.4823,12.5517
2013-08-16,28.3422,12.4524
2013-08-19,28.4328,12.3149
2013-08-20,28.6802,12.46
2013-08-21,28.4658,12.4142
2013-08-22,28.845,12.5364
2013-08-23,28.9027,12.567
2013-08-26,28.7873,12.5364
2013-08-27,27.7733,12.1315
2013-08-28,27.9629,12.2385
2013-08-29,28.3999,12.6052
2013-08-30,28.0948,12.3684
2013-09-03,28.1443,12.483
2013-09-04,29.554,12.9184
2013-09-05,29.9497,13.2164
2013-09-06,29.8013,12.9872
2013-09-09,30.0734,13.224
2013-09-10,30.502,13.4073
2013-09-11,29.9662,13.3997
2013-09-12,29.9827,13.2851
2013-09-13,29.7271,13.2546
2013-09-16,29.859,13.2546
2013-09-17,30.263,13.3233
2013-09-18,30.9802,13.4646
2013-09-19,30.6916,13.4914
2013-09-20,30.3619,13.2851
2013-09-23,30.6092,13.14
2013-09-24,30.8648,13.1858
2013-09-25,30.6504,13.1323
2013-09-26,30.4608,13.1934
2013-09-27,29.9827,13.0254
2013-09-30,29.6529,12.8879
2013-10-01,29.6035,13.1323
2013-10-02,29.6282,13.1476
2013-10-03,29.0923,12.949
2013-10-04,29.4303,13.0559
2013-10-07,29.0017,12.842
2013-10-08,28.202,12.6052
2013-10-09,28.1608,12.6969
2013-10-10,28.7296,12.9337
2013-10-11,29.1418,13.0712
2013-10-14,29.1253,13.1247
2013-10-15,28.606,12.9643
2013-10-16,28.9604,13.2087
2013-10-17,29.3974,13.3386
2013-10-18,29.587,13.3921
2013-10-21,29.2655,13.3691
2013-10-22,29.1913,13.4455
2013-10-23,28.8945,13.3844
2013-10-24,29.3726,13.5678
2013-10-25,29.3397,13.4455
2013-10-28,29.5128,13.4226
2013-10-29,29.7271,13.4532
2013-10-30,30.6916,13.3233
2013-10-31,30.4608,13.1466
2013-11-01,30.8235,12.9775
2013-11-04,30.8895,13.0621
2013-11-05,30.5762,13.1312
2013-11-06,30.164,12.9929
2013-11-07,29.6117,12.7163
2013-11-08,30.2217,12.9468
2013-11-11,30.2382,12.9775
2013-11-12,30.2217,12.8469
2013-11-13,31.6891,13.1389
2013-11-14,31.7386,13.1312
2013-11-15,31.9612,13.1159
2013-11-18,31.7963,13.0467
2013-11-19,31.3347,12.9622
2013-11-20,31.0709,13.0006
2013-11-21,31.4253,13.1312
2013-11-22,31.0214,13.0698
2013-11-25,30.9554,13.016
2013-11-26,31.0544,12.9622
2013-11-27,32.0271,13.0851
2013-11-29,31.9282,13.1235
2013-12-02,32.2415,13.1082
2013-12-03,31.4418,12.724
2013-12-04,31.9117,12.7701
2013-12-05,32.225,12.8623
2013-12-06,33.1153,12.8316
2013-12-09,33.7171,12.724
2013-12-10,33.3049,12.7009
2013-12-11,33.1071,12.6087
2013-12-12,33.0164,12.5934
2013-12-13,33.0081,12.747
2013-12-16,34.1623,12.9545
2013-12-17,34.2365,12.8316
2013-12-18,34.0221,12.0248
2013-12-19,33.2225,11.7559
2013-12-20,33.7913,11.8481
2013-12-23,34.0386,11.6406
2013-12-24,33.7006,11.6713
2013-12-26,34.2282,11.7789
2013-12-27,33.7501,11.7559
2013-12-30,33.544,11.7405
2013-12-31,33.6924,11.8557
2014-01-02,33.7583,11.8634
2014-01-03,32.6207,11.9172
2014-01-06,33.3049,11.971
2014-01-07,33.14,11.8173
2014-01-08,33.3214,11.9403
2014-01-09,33.3791,12.1708
2014-01-10,32.9999,12.3475
2014-01-13,32.6289,12.3782
2014-01-14,32.9917,12.6011
2014-01-15,32.4641,12.8316
2014-01-16,32.1508,12.8546
2014-01-17,31.821,12.6933
2014-01-21,31.6067,12.6087
2014-01-22,31.9859,12.7163
2014-01-23,31.6726,12.6241
2014-01-24,30.3619,12.1631
2014-01-27,30.3042,12.0709
2014-01-28,30.3454,12.0786
2014-01-29,29.9662,11.8212
2014-01-30,30.3701,11.8134
2014-01-31,29.7436,11.5888
2014-02-03,29.0594,11.2712
2014-02-04,29.5293,11.5191
2014-02-05,29.0511,11.4106
2014-02-06,29.0429,11.5036
2014-02-07,29.7683,11.5965
2014-02-10,28.7708,11.4958
2014-02-11,29.0594,11.5888
2014-02-12,29.3149,11.6198
2014-02-13,29.0181,11.6817
2014-02-14,29.6364,11.8057
2014-02-18,29.9332,11.9219
2014-02-19,29.7024,11.8134
2014-02-20,30.0981,11.8289
2014-02-21,30.2465,11.7437
2014-02-24,30.1311,11.7592
2014-02-25,29.7601,11.736
2014-02-26,30.3619,11.8212
2014-02-27,30.3124,11.9219
2014-02-28,29.8425,11.9219
2014-03-03,29.8508,11.7747
2014-03-04,30.4443,11.9064
2014-03-05,30.9307,12.1078
2014-03-06,30.9472,12.1388
2014-03-07,31.0709,12.1
2014-03-10,30.5762,12.0148
2014-03-11,29.0017,11.8522
2014-03-12,28.7379,11.9296
2014-03-13,28.1031,11.7592
2014-03-14,28.3504,11.6817
2014-03-17,28.7995,11.8367
2014-03-18,29.2486,11.9993
